
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2
83,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
87,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
92,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
104,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
111,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
115,11.274838,-4.573921,-0.078206,-0.195515,0.977577,9.349229,30.963758,0.507661,-0.162452,0.846102
118,11.274838,-4.573921,-0.078206,-0.195515,0.977577,9.349229,30.963758,0.507661,-0.162452,0.846102
124,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
128,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
133,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
137,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
144,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
153,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
159,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
165,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
173,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
180,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
188,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
191,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
200,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.145082,33.023869,0.538061,-0.158935,0.827786
217,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
221,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
224,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
230,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
233,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
239,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
242,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
255,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
258,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
263,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
273,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
276,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
279,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
285,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
288,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
290,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
297,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
300,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
307,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
312,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
319,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
329,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
333,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
340,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
350,11.740113,-2.382131,-0.040695,-0.203473,0.978235,9.349229,30.963758,0.507661,-0.162452,0.846102
355,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
371,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
374,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
381,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
384,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
387,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
393,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
402,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
405,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
411,11.710646,-4.756055,-0.081188,-0.202969,0.975814,9.349229,30.963758,0.507661,-0.162452,0.846102
420,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
429,11.710646,-4.756055,-0.081188,-0.202969,0.975814,7.039194,30.963758,0.510618,-0.122548,0.851030
432,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.884334,33.023865,0.541059,-0.119865,0.832399
440,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.884334,33.023865,0.541059,-0.119865,0.832399
445,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.884334,33.023865,0.541059,-0.119865,0.832399
451,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.884334,33.023865,0.541059,-0.119865,0.832399
454,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.884334,33.023865,0.541059,-0.119865,0.832399
460,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.884334,33.023865,0.541059,-0.119865,0.832399
463,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.884334,33.023865,0.541059,-0.119865,0.832399
470,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.651097,31.759481,0.522812,-0.115823,0.844543
473,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.651097,31.759481,0.522812,-0.115823,0.844543
481,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.651097,31.759481,0.522812,-0.115823,0.844543
484,11.710646,-4.756055,-0.081188,-0.202969,0.975814,6.651097,31.759481,0.522812,-0.115823,0.844543
490,11.662023,-7.113733,-0.121283,-0.202138,0.971818,6.302373,32.471191,0.533631,-0.109775,0.838563
493,11.662023,-7.113733,-0.121283,-0.202138,0.971818,6.302373,32.471191,0.533631,-0.109775,0.838563
499,11.662023,-7.113733,-0.121283,-0.202138,0.971818,6.302373,32.471191,0.533631,-0.109775,0.838563
503,11.662023,-7.113733,-0.121283,-0.202138,0.971818,6.302373,32.471191,0.533631,-0.109775,0.838563
513,11.662023,-7.113733,-0.121283,-0.202138,0.971818,6.302373,32.471191,0.533631,-0.109775,0.838563
521,11.171482,-9.090277,-0.154997,-0.193746,0.968730,6.302373,32.471191,0.533631,-0.109775,0.838563
525,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
528,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
532,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
537,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
540,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
542,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
550,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
560,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
570,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
573,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
