
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
88,-27.241598,-8.071756,-0.124839,0.457744,0.880276,1fa2,1f35,1f4f,  -1.750,   3.700,   2.400,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
107,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f92,1f41,1f21,  -0.950,   3.100,   4.700,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
123,-29.455769,-5.401001,-0.081959,0.491752,0.866870,1f9f,1f36,1f21,  -1.600,   3.650,   4.700,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
137,-29.455769,-5.401001,-0.081959,0.491752,0.866870,1f96,1f36,1f2a,  -1.150,   3.650,   4.250,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
151,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1fa6,1f39,1f37,  -1.950,   3.500,   3.600,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
167,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1fa6,1f39,1f37,  -1.950,   3.500,   3.600,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
183,-30.448120,0.000000,0.000000,0.506758,0.862088,1fc8,1f3f,1f36,  -3.650,   3.200,   3.650,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
197,-30.448120,0.000000,0.000000,0.506758,0.862088,1fbc,1f4d,1f34,  -3.050,   2.500,   3.750,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
205,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1fc6,1f55,1f26,  -3.550,   2.100,   4.450,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
210,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1fd1,1f3e,1f2a,  -4.100,   3.250,   4.250,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
215,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1fd1,1f3e,1f2a,  -4.100,   3.250,   4.250,0.000000,0.000000,0.000000,0.000000,0.000000,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
233,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1fbf,1efb,1fbb,  -3.200,   6.600,  -3.000,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
238,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1fbf,1efb,1fbb,  -3.200,   6.600,  -3.000,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
242,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1fbf,1efb,1fbb,  -3.200,   6.600,  -3.000,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
246,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1f7a,1f00,1f4c,   0.250,   6.350,   2.550,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
252,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1f8f,1f8b,1ea5,  -0.800,  -0.600,  10.900,-29.641563,-24.227745,-0.356663,0.494572,0.792584,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
257,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1f8f,1f8b,1ea5,  -0.800,  -0.600,  10.900,-29.641563,-24.227745,-0.356663,0.494572,0.792584,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
265,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1fca,1f56,1f52,  -3.750,   2.050,   2.250,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
269,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1fca,1f56,1f52,  -3.750,   2.050,   2.250,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
273,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1f7d,1eef,1f58,   0.100,   7.200,   1.950,-29.641563,-24.227745,-0.356663,0.494572,0.792584,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
277,-29.249439,-11.749984,-0.177677,0.488613,0.854218,1f7d,1eef,1f58,   0.100,   7.200,   1.950,-29.641563,-24.227745,-0.356663,0.494572,0.792584,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
280,-27.452440,2.481265,0.038418,0.461012,0.886562,1fb3,1f93,1edd,  -2.600,  -1.000,   8.100,-29.641563,-24.227745,-0.356663,0.494572,0.792584,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
286,-27.452440,2.481265,0.038418,0.461012,0.886562,1fb3,1f93,1edd,  -2.600,  -1.000,   8.100,-29.641563,-24.227745,-0.356663,0.494572,0.792584,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
292,-30.781420,-17.327923,-0.255882,0.511764,0.820135,1f95,1ef3,1f88,  -1.100,   7.000,  -0.450,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
297,-30.781420,-17.327923,-0.255882,0.511764,0.820135,1f95,1ef3,1f88,  -1.100,   7.000,  -0.450,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
304,-30.781420,-17.327923,-0.255882,0.511764,0.820135,1f95,1ef3,1f88,  -1.100,   7.000,  -0.450,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
311,-30.781420,-17.327923,-0.255882,0.511764,0.820135,1fb1,1f90,1ed4,  -2.500,  -0.850,   8.550,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
318,-30.781420,-17.327923,-0.255882,0.511764,0.820135,1f86,1efe,1f54,  -0.350,   6.450,   2.150,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
324,-30.781420,-17.327923,-0.255882,0.511764,0.820135,1fbc,1f6d,1f5c,  -3.050,   0.900,   1.750,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
334,-28.386940,5.167474,0.079237,0.475424,0.876181,1f98,1f44,1ed5,  -1.250,   2.950,   8.500,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
341,-28.386940,5.167474,0.079237,0.475424,0.876181,1f98,1f44,1ed5,  -1.250,   2.950,   8.500,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
348,-28.386940,5.167474,0.079237,0.475424,0.876181,1f89,1f0f,1fb1,  -0.500,   5.600,  -2.500,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
353,-28.386940,5.167474,0.079237,0.475424,0.876181,1fc5,1f9e,1eef,  -3.500,  -1.550,   7.200,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
359,-28.386940,5.167474,0.079237,0.475424,0.876181,1f88,1f4c,1ee9,  -0.450,   2.550,   7.500,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
373,-28.386940,5.167474,0.079237,0.475424,0.876181,1f88,1f4c,1ee9,  -0.450,   2.550,   7.500,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
377,-28.386940,5.167474,0.079237,0.475424,0.876181,1f77,1f2e,1f5b,   0.400,   4.050,   1.800,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
381,-28.386940,5.167474,0.079237,0.475424,0.876181,1f77,1f2e,1f5b,   0.400,   4.050,   1.800,-25.710564,-24.227745,-0.369737,0.433825,0.821639,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
389,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb6,1f85,1f3e,  -2.750,  -0.300,   3.250,-25.710564,-24.227745,-0.369737,0.433825,0.821639,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
393,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb6,1f85,1f3e,  -2.750,  -0.300,   3.250,-25.710564,-24.227745,-0.369737,0.433825,0.821639,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
398,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb2,1f79,1eda,  -2.550,   0.300,   8.250,-25.710564,-24.227745,-0.369737,0.433825,0.821639,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
404,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb2,1f79,1eda,  -2.550,   0.300,   8.250,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
407,-28.386940,5.167474,0.079237,0.475424,0.876181,1f78,1f35,1f05,   0.350,   3.700,   6.100,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
411,-28.386940,5.167474,0.079237,0.475424,0.876181,1f78,1f35,1f05,   0.350,   3.700,   6.100,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
418,-28.386940,5.167474,0.079237,0.475424,0.876181,1f79,1f42,1f5f,   0.300,   3.050,   1.600,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
422,-28.386940,5.167474,0.079237,0.475424,0.876181,1f79,1f42,1f5f,   0.300,   3.050,   1.600,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
429,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb5,1f72,1f4c,  -2.700,   0.650,   2.550,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
433,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb5,1f72,1f4c,  -2.700,   0.650,   2.550,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
439,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb1,1f7b,1eef,  -2.500,   0.200,   7.200,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
443,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb1,1f7b,1eef,  -2.500,   0.200,   7.200,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
449,-28.386940,5.167474,0.079237,0.475424,0.876181,1f94,1f4d,1ed8,  -1.050,   2.500,   8.350,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
454,-28.386940,5.167474,0.079237,0.475424,0.876181,1f6f,1f26,1f19,   0.800,   4.450,   5.100,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
460,-28.386940,5.167474,0.079237,0.475424,0.876181,1f6f,1f26,1f19,   0.800,   4.450,   5.100,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
465,-28.386940,5.167474,0.079237,0.475424,0.876181,1f6d,1f34,1f59,   0.900,   3.750,   1.900,-25.710564,-24.227745,-0.369737,0.433825,0.821639,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
470,-28.386940,5.167474,0.079237,0.475424,0.876181,1f6d,1f34,1f59,   0.900,   3.750,   1.900,-25.710564,-24.227745,-0.369737,0.433825,0.821639,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
475,-28.386940,5.167474,0.079237,0.475424,0.876181,1f9d,1f54,1f63,  -1.500,   2.150,   1.400,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
480,-28.386940,5.167474,0.079237,0.475424,0.876181,1f9d,1f54,1f63,  -1.500,   2.150,   1.400,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
484,-28.386940,5.167474,0.079237,0.475424,0.876181,1f9d,1f54,1f63,  -1.500,   2.150,   1.400,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
489,-28.386940,5.167474,0.079237,0.475424,0.876181,1fa8,1f6c,1f2d,  -2.050,   0.950,   4.100,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
495,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb6,1f6d,1ef2,  -2.750,   0.900,   7.050,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
500,-28.386940,5.167474,0.079237,0.475424,0.876181,1fb6,1f6d,1ef2,  -2.750,   0.900,   7.050,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
506,-28.386940,5.167474,0.079237,0.475424,0.876181,1f97,1f50,1ee2,  -1.200,   2.350,   7.850,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
511,-28.386940,5.167474,0.079237,0.475424,0.876181,1f97,1f50,1ee2,  -1.200,   2.350,   7.850,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
520,-28.386940,5.167474,0.079237,0.475424,0.876181,1f81,1f3a,1f05,  -0.100,   3.450,   6.100,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
525,-28.386940,5.167474,0.079237,0.475424,0.876181,1f69,1f31,1f2c,   1.100,   3.900,   4.150,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
530,-28.386940,5.167474,0.079237,0.475424,0.876181,1f69,1f31,1f2c,   1.100,   3.900,   4.150,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
534,-28.386940,5.167474,0.079237,0.475424,0.876181,1f67,1f2d,1f5d,   1.200,   4.100,   1.700,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
539,-28.386940,5.167474,0.079237,0.475424,0.876181,1f67,1f2d,1f5d,   1.200,   4.100,   1.700,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
546,-28.386940,5.167474,0.079237,0.475424,0.876181,1f78,1f4a,1f6a,   0.350,   2.650,   1.050,-27.711458,-24.227747,-0.363296,0.465019,0.807325,1f61,1f6f,1fa4,   1.500,   0.800,  -1.850
