
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
94,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f9c,1f4a,1f1a,  -1.450,   2.650,   5.050,0.000000,0.000000,0.000000,0.000000,0.000000,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
102,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f9c,1f4a,1f1a,  -1.450,   2.650,   5.050,0.000000,0.000000,0.000000,0.000000,0.000000,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
105,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f9c,1f4a,1f1a,  -1.450,   2.650,   5.050,0.000000,0.000000,0.000000,0.000000,0.000000,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
109,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f9c,1f4a,1f1a,  -1.450,   2.650,   5.050,0.000000,0.000000,0.000000,0.000000,0.000000,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
113,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f9c,1f4a,1f1a,  -1.450,   2.650,   5.050,0.000000,0.000000,0.000000,0.000000,0.000000,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
118,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f91,1f48,1f27,  -0.900,   2.750,   4.400,0.000000,0.000000,0.000000,0.000000,0.000000,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
126,-29.135088,-10.707686,-0.162290,0.486870,0.858265,1f8c,1f52,1f29,  -0.650,   2.250,   4.300,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
139,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f90,1f54,1f1e,  -0.850,   2.150,   4.850,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
141,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f90,1f54,1f1e,  -0.850,   2.150,   4.850,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
145,-29.135088,-10.707686,-0.162290,0.486870,0.858265,1f99,1f4d,1f2b,  -1.300,   2.500,   4.200,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
149,-29.135088,-10.707686,-0.162290,0.486870,0.858265,1f99,1f4d,1f2b,  -1.300,   2.500,   4.200,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
153,-29.135088,-10.707686,-0.162290,0.486870,0.858265,1f99,1f4d,1f2b,  -1.300,   2.500,   4.200,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
157,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f92,1f3e,1f23,  -0.950,   3.250,   4.600,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
161,-29.320862,-8.071756,-0.122425,0.489700,0.863253,1f92,1f3e,1f23,  -0.950,   3.250,   4.600,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
165,-29.979080,-13.907778,-0.208202,0.499684,0.840814,1fab,1f4b,1f2a,  -2.200,   2.600,   4.250,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
169,-29.979080,-13.907778,-0.208202,0.499684,0.840814,1fab,1f4b,1f2a,  -2.200,   2.600,   4.250,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
174,-29.979080,-13.907778,-0.208202,0.499684,0.840814,1fab,1f4b,1f2a,  -2.200,   2.600,   4.250,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
179,-30.422567,-2.589002,-0.038952,0.506373,0.861434,1f7f,1f59,1ee7,   0.000,   1.900,   7.600,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
187,-28.386940,-5.167474,-0.079237,0.475424,0.876181,1f8f,1f22,1f64,  -0.800,   4.650,   1.350,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
191,-28.386940,-5.167474,-0.079237,0.475424,0.876181,1f8f,1f22,1f64,  -0.800,   4.650,   1.350,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
196,-28.386940,-5.167474,-0.079237,0.475424,0.876181,1fb0,1f1e,1f74,  -2.450,   4.850,   0.550,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
200,-28.386940,-5.167474,-0.079237,0.475424,0.876181,1fb0,1f1e,1f74,  -2.450,   4.850,   0.550,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
207,-28.386940,-5.167474,-0.079237,0.475424,0.876181,1fd9,1f43,1f4f,  -4.500,   3.000,   2.400,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
213,-28.386940,-5.167474,-0.079237,0.475424,0.876181,1fcf,1f53,1f57,  -4.000,   2.200,   2.000,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
220,-28.386940,-5.167474,-0.079237,0.475424,0.876181,1fcf,1f53,1f57,  -4.000,   2.200,   2.000,-39.794739,-12.528808,-0.166677,0.640039,0.750046,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
225,-28.460123,2.589002,0.039712,0.476547,0.878252,1fcd,1f28,1f93,  -3.900,   4.350,  -1.000,-41.511276,-12.528808,-0.162443,0.662767,0.730994,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
230,-28.460123,2.589002,0.039712,0.476547,0.878252,1fcd,1f28,1f93,  -3.900,   4.350,  -1.000,-41.511276,-12.528808,-0.162443,0.662767,0.730994,1f3f,1f0a,1fac,   3.200,   5.850,  -2.250
