
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
85,-23.035616,-19.887041,-0.313043,0.391303,0.865382,1f9b,1f3b,1f18,  -1.400,   3.400,   5.150,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f62,1f6e,1f95,   1.450,   0.850,  -1.100
88,-23.035616,-19.887041,-0.313043,0.391303,0.865382,1f9b,1f3b,1f18,  -1.400,   3.400,   5.150,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f62,1f6e,1f95,   1.450,   0.850,  -1.100
93,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f9e,1f2f,1f1c,  -1.550,   4.000,   4.950,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f62,1f6e,1f95,   1.450,   0.850,  -1.100
105,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f85,1f3a,1f1f,  -0.300,   3.450,   4.800,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f62,1f6e,1f95,   1.450,   0.850,  -1.100
112,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f95,1f3c,1f21,  -1.100,   3.350,   4.700,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f66,1f6a,1f9f,   1.250,   1.050,  -1.600
115,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f8b,1f2e,1f24,  -0.600,   4.050,   4.550,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f66,1f6a,1f9f,   1.250,   1.050,  -1.600
119,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f8b,1f2e,1f24,  -0.600,   4.050,   4.550,-30.693922,-2.726311,-0.040902,0.510452,0.858933,1f60,1f68,1f9d,   1.550,   1.150,  -1.500
123,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f8b,1f2e,1f24,  -0.600,   4.050,   4.550,-30.693922,-2.726311,-0.040902,0.510452,0.858933,1f60,1f68,1f9d,   1.550,   1.150,  -1.500
128,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f8d,1f2b,1f1a,  -0.700,   4.200,   5.050,-30.693922,-2.726311,-0.040902,0.510452,0.858933,1f60,1f68,1f9d,   1.550,   1.150,  -1.500
131,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f8d,1f2b,1f1a,  -0.700,   4.200,   5.050,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f64,1f70,1fa3,   1.350,   0.750,  -1.800
140,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f9c,1f2f,1f1d,  -1.450,   4.000,   4.900,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f60,1f6a,1f9f,   1.550,   1.050,  -1.600
143,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f9c,1f2f,1f1d,  -1.450,   4.000,   4.900,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f60,1f6a,1f9f,   1.550,   1.050,  -1.600
149,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f90,1f34,1f23,  -0.850,   3.750,   4.600,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f61,1f70,1fa3,   1.500,   0.750,  -1.800
153,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f90,1f34,1f23,  -0.850,   3.750,   4.600,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f61,1f70,1fa3,   1.500,   0.750,  -1.800
159,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f88,1f39,1f29,  -0.450,   3.500,   4.300,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f58,1f6c,1f9d,   1.950,   0.950,  -1.500
163,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f88,1f39,1f29,  -0.450,   3.500,   4.300,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f58,1f6c,1f9d,   1.950,   0.950,  -1.500
169,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f95,1f30,1f22,  -1.100,   3.950,   4.650,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f57,1f68,1fa0,   2.000,   1.150,  -1.650
173,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f95,1f30,1f22,  -1.100,   3.950,   4.650,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f57,1f68,1fa0,   2.000,   1.150,  -1.650
178,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f96,1f38,1f23,  -1.150,   3.550,   4.600,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f57,1f68,1fa0,   2.000,   1.150,  -1.650
184,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f96,1f38,1f23,  -1.150,   3.550,   4.600,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f60,1f6f,1fa7,   1.550,   0.800,  -2.000
188,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f87,1f33,1f19,  -0.400,   3.800,   5.100,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f60,1f6e,1f9f,   1.550,   0.850,  -1.600
195,-21.380091,-23.047548,-0.364553,0.364553,0.856856,1f87,1f33,1f19,  -0.400,   3.800,   5.100,-31.836281,-5.710594,-0.084534,0.527494,0.845343,1f60,1f6e,1f9f,   1.550,   0.850,  -1.600
202,-22.970964,-25.079594,-0.390265,0.390265,0.833899,1f8f,1f37,1f23,  -0.800,   3.600,   4.600,-30.608929,-5.440332,-0.081599,0.509176,0.856786,1f60,1f6b,1f9e,   1.550,   1.000,  -1.550
