Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
1f78,1f21,1f60,0.35,4.7,1.55
1f86,1f66,1f55,-0.35,1.25,2.1
1fc0,1fed,1f14,-3.25,-5.5,5.35
1fb6,2005,1f25,-2.75,-6.7,4.5
1fb3,2004,1f39,-2.6,-6.65,3.5
1fb3,2004,1f39,-2.6,-6.65,3.5
1f79,1fd0,1f2a,0.3,-4.05,4.25
1f79,1fd0,1f2a,0.3,-4.05,4.25
1f61,1f6c,1f51,1.5,0.95,2.3
1f61,1f6c,1f51,1.5,0.95,2.3
1f5c,1f5c,1f68,1.75,1.75,1.15
1f48,1f3f,1f67,2.75,3.2,1.2
1f3e,1f18,1f71,3.25,5.15,0.7
1f54,1f0b,1f71,2.15,5.8,0.7
1f5f,1f0d,1f81,1.6,5.7,-0.1
1f7c,1f1b,1f86,0.15,5,-0.35
1f97,1f2d,1f8b,-1.2,4.1,-0.6
1fb6,1f4c,1f9f,-2.75,2.55,-1.6
1fd3,1f89,1fa8,-4.2,-0.5,-2.05
1fd5,1fdd,1f95,-4.3,-4.7,-1.1
1fcf,202b,1f6c,-4,-8.6,0.95
1fd9,2085,1f5d,-4.5,-13.1,1.7
1fe9,20db,1f3e,-5.3,-17.4,3.25
2000,2118,1f27,-6.45,-20.45,4.4
2011,2141,1f1f,-7.3,-22.5,4.8
2028,2168,1f1a,-8.45,-24.45,5.05
204c,21a0,1f10,-10.25,-27.25,5.55
2075,21ee,1ef5,-12.3,-31.15,6.9
2092,2243,1ee7,-13.75,-35.4,7.6
209c,2292,1ec5,-14.25,-39.35,9.3
2088,22a4,1ec2,-13.25,-40.25,9.45
204f,2285,1ed3,-10.4,-38.7,8.6
1fa8,2298,2047,-2.05,-39.65,-10
1fef,229b,1f30,-5.6,-39.8,3.95
1fef,229b,1f30,-5.6,-39.8,3.95
1fb3,2291,1f38,-2.6,-39.3,3.55
1fb3,2291,1f38,-2.6,-39.3,3.55
1f7e,22a1,2001,0.05,-40.1,-6.5
1f8f,229d,1fa8,-0.8,-39.9,-2.05
1f9e,2281,1f47,-1.55,-38.5,2.8
1f99,2255,1f33,-1.3,-36.3,3.8
1f88,2233,1f43,-0.45,-34.6,3
1f85,2205,1f38,-0.3,-32.3,3.55
1f72,21ea,1f5f,0.65,-30.95,1.6
1f6c,21ef,1fa9,0.95,-31.2,-2.1
1f8f,21f9,1f3c,-0.8,-31.7,3.35
1f8e,220b,1f3f,-0.75,-32.6,3.2
1f95,2202,1f24,-1.1,-32.15,4.55
1f9f,2201,1ef3,-1.6,-32.1,7
1f9d,21fd,1f67,-1.5,-31.9,1.2
1f98,2216,1f70,-1.25,-33.15,0.75
1fa5,2248,1f7f,-1.9,-35.65,0
1fca,229c,1f9e,-3.75,-39.85,-1.55
1fe0,22ff,1f95,-4.85,-44.8,-1.1
1fe7,2337,1f65,-5.2,-47.6,1.3
1fd3,2347,1f44,-4.2,-48.4,2.95
1fcc,2312,1fbd,-3.85,-45.75,-3.1
1f84,22c2,1f59,-0.25,-41.75,1.9
1f52,2289,1f54,2.25,-38.9,2.15
1f84,2271,1f30,-0.25,-37.7,3.95
1f90,2269,1f46,-0.85,-37.3,2.85
1f85,2272,1f62,-0.3,-37.75,1.45
1f85,2272,1f62,-0.3,-37.75,1.45
1f93,2281,1f32,-1,-38.5,3.85
1f88,2257,1f69,-0.45,-36.4,1.1
1f83,223f,1f44,-0.2,-35.2,2.95
1f9e,2250,1f3c,-1.55,-36.05,3.35
1fc5,2266,1f1f,-3.5,-37.15,4.8
1fd0,226d,1f21,-4.05,-37.5,4.7
1fe1,2261,1f3d,-4.9,-36.9,3.3
1fe1,2261,1f3d,-4.9,-36.9,3.3
1fe4,225d,1f10,-5.05,-36.7,5.55
2015,2258,1f37,-7.5,-36.45,3.6
2024,2269,1f3f,-8.25,-37.3,3.2
2010,22a8,1f61,-7.25,-40.45,1.5
202b,2303,1f61,-8.6,-45,1.5
2075,2357,1f7a,-12.3,-49.2,0.25
2086,238a,1f1e,-13.15,-51.75,4.85
2095,23a4,1f20,-13.9,-53.05,4.75
2093,23a8,1f47,-13.8,-53.25,2.8
208c,23c2,1f30,-13.45,-54.55,3.95
2049,242b,1fcf,-10.1,-59.8,-4
2049,242b,1fcf,-10.1,-59.8,-4
204d,244b,1f5d,-10.3,-61.4,1.7
2062,245c,1f10,-11.35,-62.25,5.55
2035,243c,1f08,-9.1,-60.65,5.95
1ff0,23ea,1ee2,-5.65,-56.55,7.85
1fd7,238a,1f2f,-4.4,-51.75,4
1fa0,235c,1f74,-1.65,-49.45,0.55
1f76,233d,1fd6,0.45,-47.9,-4.35
1fbb,2347,1fbc,-3,-48.4,-3.05
1fd0,2385,1fee,-4.05,-51.5,-5.55
1fe7,23ce,1fb1,-5.2,-55.15,-2.5
2007,2410,1fd7,-6.8,-58.45,-4.4
1fd8,2439,2012,-4.45,-60.5,-7.35
1ffd,2413,1fa8,-6.3,-58.6,-2.05
1ffd,2413,1fa8,-6.3,-58.6,-2.05
1fea,23be,1fc0,-5.35,-54.35,-3.25
1fda,237a,1fa5,-4.55,-50.95,-1.9
1fda,237a,1fa5,-4.55,-50.95,-1.9
2009,235e,1fba,-6.9,-49.55,-2.95
201c,2357,1fbc,-7.85,-49.2,-3.05
2027,234d,1f86,-8.4,-48.7,-0.35
202d,2361,1fae,-8.7,-49.7,-2.35
2014,2373,1fa3,-7.45,-50.6,-1.8
1fee,238d,1f1e,-5.55,-51.9,4.85
1fe4,23a3,1f5f,-5.05,-53,1.6
1fd4,238f,1f5c,-4.25,-52,1.75
1fd0,238f,1f3e,-4.05,-52,3.25
1fe9,2387,1f51,-5.3,-51.6,2.3
2002,2379,1f9f,-6.55,-50.9,-1.6
202f,2374,1f8e,-8.8,-50.65,-0.75
2051,236b,200f,-10.5,-50.2,-7.2
206c,2359,1ff1,-11.85,-49.3,-5.7
2069,2367,1fb4,-11.7,-50,-2.65
2062,237f,1fd3,-11.35,-51.2,-4.2
2043,23be,1f99,-9.8,-54.35,-1.3
202f,240e,1f5b,-8.8,-58.35,1.8
2060,2457,1fa4,-11.25,-62,-1.85
2067,2499,1f8c,-11.6,-65.3,-0.65
2090,24c1,1f98,-13.65,-67.3,-1.25
20bf,24ca,1fd2,-16,-67.75,-4.15
20b4,2.40E+07,1f8c,-15.45,-69.15,-0.65
2094,24f5,1f47,-13.85,-69.9,2.8
2012,249b,1f1e,-7.35,-65.4,4.85
1fe4,246c,1f50,-5.05,-63.05,2.35
1fe4,246c,1f50,-5.05,-63.05,2.35
1faf,2471,1f97,-2.4,-63.3,-1.2
1faf,2471,1f97,-2.4,-63.3,-1.2
1-Feb,2537,1f7c,-5.4,-73.2,0.15
2021,25b9,1f0d,-8.1,-79.7,5.7
2021,25b9,1f0d,-8.1,-79.7,5.7
200f,26ac,1e7c,-7.2,-91.85,12.95
200f,26ac,1e7c,-7.2,-91.85,12.95
2014,2710,1.00E+91,-7.45,-96.85,11.9
202b,2745,1.00E+99,-8.6,-99.5,11.5
203f,273f,1ec6,-9.6,-99.2,9.25
203e,26f9,1f3b,-9.55,-95.7,3.4
2078,26c3,1f1b,-12.45,-93,5
209b,2688,1f33,-14.2,-90.05,3.8
20af,2652,1f83,-15.2,-87.35,-0.2
20c1,25fd,1f5f,-16.1,-83.1,1.6
20b0,25ae,1fa1,-15.25,-79.15,-1.7
2089,255b,1fc9,-13.3,-75,-3.7
2055,252c,201c,-10.7,-72.65,-7.85
2003,2547,2101,-6.6,-74,-19.3
2003,2547,2101,-6.6,-74,-19.3
1fe4,2591,2139,-5.05,-77.7,-22.1
1fd4,25fc,2154,-4.25,-83.05,-23.45
1fc9,2664,20eb,-3.7,-88.25,-18.2
1fb4,26a6,205e,-2.65,-91.55,-11.15
1f9b,26b7,1ff9,-1.4,-92.4,-6.1
1f79,26a1,1fe9,0.3,-91.3,-5.3
1f7e,2677,1ff4,0.05,-89.2,-5.85
1f85,261b,2080,-0.3,-84.6,-12.85
1fbe,25a6,20c6,-3.15,-78.75,-16.35
1fc9,253b,20f3,-3.7,-73.4,-18.6
1fc5,2531,2076,-3.5,-72.9,-12.35
1fc5,2531,2076,-3.5,-72.9,-12.35
1f9a,2510,202b,-1.35,-71.25,-8.6
1f9a,2510,202b,-1.35,-71.25,-8.6
1f8e,24bb,204f,-0.75,-67,-10.4
1f8a,2479,209d,-0.55,-63.7,-14.3
1f8a,2479,209d,-0.55,-63.7,-14.3
1f88,2475,20d8,-0.45,-63.5,-17.25
1fc8,24da,202c,-3.65,-68.55,-8.65
1fcc,2512,1fd8,-3.85,-71.35,-4.45
1fc4,251c,1f7d,-3.45,-71.85,0.1
1fa7,251a,1f54,-2,-71.75,2.15
1f73,24ec,1f18,0.6,-69.45,5.15
1f52,24a5,1ee8,2.25,-65.9,7.55
1f41,2460,1f02,3.1,-62.45,6.25
1f3a,23f5,1f65,3.45,-57.1,1.3
1f44,2393,1f3a,2.95,-52.2,3.45
1f55,234a,1f36,2.1,-48.55,3.65
1f96,237d,1eff,-1.15,-51.1,6.4
1faf,23a8,1eb2,-2.4,-53.25,10.25
1faf,23a8,1eb2,-2.4,-53.25,10.25
1f95,23ce,1e8f,-1.1,-55.15,12
1f81,23bb,1e8d,-0.1,-54.2,12.1
1f81,23bb,1e8d,-0.1,-54.2,12.1
1f6c,23b9,1e6f,0.95,-54.1,13.6
1f6c,23d0,1.00E+69,0.95,-55.25,13.9
1f7d,23c6,1.00E+75,0.1,-54.75,13.3
1f9d,23a5,1ea2,-1.5,-53.1,11.05
1fc0,239e,1f0d,-3.25,-52.75,5.7
1fe5,23c4,1f38,-5.1,-54.65,3.55
