Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
1f3e,1f38,1f40,3.25,3.55,3.15
1f6b,1f47,1f35,1,2.8,3.7
1fbe,1f37,1f4a,-3.15,3.6,2.65
1fd3,1f36,1f4d,-4.2,3.65,2.5
2019,1f50,1f35,-7.7,2.35,3.7
200f,1f4b,1f67,-7.2,2.6,1.2
200a,1f55,1f81,-6.95,2.1,-0.1
200f,1f56,1fd7,-7.2,2.05,-4.4
2011,1f55,2006,-7.3,2.1,-6.75
1ff4,1f60,2005,-5.85,1.55,-6.7
1ff4,1f60,2005,-5.85,1.55,-6.7
1fe5,1f69,200f,-5.1,1.1,-7.2
1fda,1f6d,2024,-4.55,0.9,-8.25
1fdc,1f7b,207d,-4.65,0.2,-12.7
1f9e,1ead,22cd,-1.55,10.5,-42.3
1f9e,1ead,22cd,-1.55,10.5,-42.3
1f72,1e9e,23b4,0.65,11.25,-53.85
1f65,1e9e,23c4,1.3,11.25,-54.65
1fed,1fc3,1ff5,-5.5,-3.4,-5.9
1ff9,1f7f,2022,-6.1,0,-8.15
1fdd,1f42,2054,-4.7,3.05,-10.65
1fdd,1f42,2054,-4.7,3.05,-10.65
1f8c,1fb4,21c6,-0.65,-2.65,-29.15
1fec,1f62,207b,-5.45,1.45,-12.6
1fdb,1f88,1fef,-4.6,-0.45,-5.6
1fdb,1f88,1fef,-4.6,-0.45,-5.6
1f96,1f95,2159,-1.15,-1.1,-23.7
1f4f,1.00E+82,22b1,2.4,12.65,-40.9
1f31,1f2a,2320,3.9,4.25,-46.45
1fa9,1f81,23ab,-2.1,-0.1,-53.4
1fa9,1f81,23ab,-2.1,-0.1,-53.4
1.00E+38,1ec3,2926,16.35,9.4,-123.55
1.00E+38,1ec3,2926,16.35,9.4,-123.55
1.00E+04,1f4b,2802,18.95,2.6,-108.95
1.00E+55,1fff,24d3,14.9,-6.4,-68.2
1ea5,207f,21f0,10.9,-12.8,-31.25
1eb4,204e,2075,10.15,-10.35,-12.3
1eda,201c,20dc,8.25,-7.85,-17.45
1ee8,2027,2120,7.55,-8.4,-20.85
1ef6,203d,215b,6.85,-9.5,-23.8
1f10,2018,2295,5.55,-7.65,-39.5
1f0a,1fa0,2639,5.85,-1.65,-86.1
1ea9,1fa5,25d5,10.7,-1.9,-81.1
1f35,2069,2040,3.7,-11.7,-9.65
1f35,2069,2040,3.7,-11.7,-9.65
1f35,2069,2040,3.7,-11.7,-9.65
1fa8,2008,2152,-2.05,-6.85,-23.35
1-Feb,1fcf,216c,-5.4,-4,-24.65
1fed,2011,21ff,-5.5,-7.3,-32
2005,2050,2623,-6.7,-10.45,-85
1fa3,1f42,27b7,-1.8,3.05,-105.2
1f70,1f3d,275c,0.75,3.3,-100.65
1f8c,1f94,2689,-0.65,-1.05,-90.1
1ffb,1f94,2536,-6.2,-1.05,-73.15
1ffb,1f94,2536,-6.2,-1.05,-73.15
2026,1f8b,253a,-8.35,-0.6,-73.35
1ffb,1f3a,263c,-6.2,3.45,-86.25
2001,1f2d,2687,-6.5,4.1,-90
2002,1f52,268d,-6.55,2.25,-90.3
2022,1fc4,24ff,-8.15,-3.45,-70.4
2019,1fd9,2473,-7.7,-4.5,-63.4
1fe3,1fdd,2557,-5,-4.7,-74.8
1fac,1fcc,2640,-2.25,-3.85,-86.45
1fb5,1fb4,255c,-2.7,-2.65,-75.05
1ff3,1fdb,222f,-5.8,-4.6,-34.4
2060,1fc0,20d9,-11.25,-3.25,-17.3
2060,1fc0,20d9,-11.25,-3.25,-17.3
2064,1faf,20b8,-11.45,-2.4,-15.65
201d,1f98,215f,-7.9,-1.25,-24
201d,1f98,215f,-7.9,-1.25,-24
2007,1f79,220e,-6.8,0.3,-32.75
1ffd,1f96,2587,-6.3,-1.15,-77.2
1fa8,1ebe,2926,-2.05,9.65,-123.55
1f65,1ebf,268c,1.3,9.6,-90.25
200a,1f72,2246,-6.95,0.65,-35.55
208d,1f89,20ab,-13.5,-0.5,-15
2094,1f49,2197,-13.85,2.7,-26.8
2086,1f29,21ed,-13.15,4.3,-31.1
207f,1f3a,239a,-12.8,3.45,-52.55
209c,1f30,24c9,-14.25,3.95,-67.7
2056,1f1b,229e,-10.75,5,-39.95
2056,1f1b,229e,-10.75,5,-39.95
2088,1f30,217a,-13.25,3.95,-25.35
2015,1eef,22fc,-7.5,7.2,-44.65
2014,1f09,266a,-7.45,5.9,-88.55
2014,1f09,266a,-7.45,5.9,-88.55
1fbd,1.00E+35,2b0b,-3.1,16.5,-147.8
1f9e,1.00E+76,27fd,-1.55,13.25,-108.7
2014,1f0a,24b5,-7.45,5.85,-66.7
2076,1f8d,20cc,-12.35,-0.7,-16.65
2076,1f8d,20cc,-12.35,-0.7,-16.65
1ff2,1f78,2232,-5.75,0.35,-34.55
