
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
83,-0.000000,7.113733,0.123839,0.000000,0.992302,1f90,1f4d,1f17,  -0.850,   2.500,   5.200,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5d,1f6c,1f84,   1.700,   0.950,  -0.250
88,-0.000000,7.113733,0.123839,0.000000,0.992302,1f93,1f48,1f17,  -1.000,   2.750,   5.200,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5d,1f6c,1f84,   1.700,   0.950,  -0.250
91,-0.000000,7.113733,0.123839,0.000000,0.992302,1f93,1f48,1f17,  -1.000,   2.750,   5.200,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5d,1f6c,1f84,   1.700,   0.950,  -0.250
100,-0.000000,7.113733,0.123839,0.000000,0.992302,1f97,1f43,1f17,  -1.200,   3.000,   5.200,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5d,1f6c,1f84,   1.700,   0.950,  -0.250
109,-0.000000,7.113733,0.123839,0.000000,0.992302,1f91,1f43,1f18,  -0.900,   3.000,   5.150,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f66,1f66,1f7f,   1.250,   1.250,   0.000
112,-0.000000,7.113733,0.123839,0.000000,0.992302,1f91,1f43,1f18,  -0.900,   3.000,   5.150,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f66,1f66,1f7f,   1.250,   1.250,   0.000
118,-0.000000,7.113733,0.123839,0.000000,0.992302,1f90,1f43,1f1c,  -0.850,   3.000,   4.950,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f59,1f6e,1f89,   1.900,   0.850,  -0.500
120,-0.000000,7.113733,0.123839,0.000000,0.992302,1f90,1f43,1f1c,  -0.850,   3.000,   4.950,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f59,1f6e,1f89,   1.900,   0.850,  -0.500
129,-0.000000,7.113733,0.123839,0.000000,0.992302,1f95,1f36,1f12,  -1.100,   3.650,   5.450,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f59,1f6e,1f89,   1.900,   0.850,  -0.500
133,-0.000000,7.113733,0.123839,0.000000,0.992302,1f95,1f36,1f12,  -1.100,   3.650,   5.450,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5b,1f66,1f86,   1.800,   1.250,  -0.350
137,-0.000000,7.113733,0.123839,0.000000,0.992302,1f96,1f44,1f12,  -1.150,   2.950,   5.450,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f64,1f63,1f83,   1.350,   1.400,  -0.200
140,-0.000000,7.113733,0.123839,0.000000,0.992302,1f96,1f44,1f12,  -1.150,   2.950,   5.450,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f64,1f63,1f83,   1.350,   1.400,  -0.200
151,-0.000000,7.113733,0.123839,0.000000,0.992302,1f90,1f44,1f11,  -0.850,   2.950,   5.500,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5f,1f64,1f8a,   1.600,   1.350,  -0.550
154,-0.000000,7.113733,0.123839,0.000000,0.992302,1f90,1f44,1f11,  -0.850,   2.950,   5.500,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5f,1f64,1f8a,   1.600,   1.350,  -0.550
158,-0.000000,7.113733,0.123839,0.000000,0.992302,1f88,1f4a,1f1b,  -0.450,   2.650,   5.000,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f64,1f6e,1f8b,   1.350,   0.850,  -0.600
162,-0.000000,7.113733,0.123839,0.000000,0.992302,1f88,1f4a,1f1b,  -0.450,   2.650,   5.000,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f64,1f6e,1f8b,   1.350,   0.850,  -0.600
168,-0.000000,7.113733,0.123839,0.000000,0.992302,1f8f,1f3b,1f18,  -0.800,   3.400,   5.150,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f58,1f65,1f89,   1.950,   1.300,  -0.500
171,-0.000000,7.113733,0.123839,0.000000,0.992302,1f8f,1f3b,1f18,  -0.800,   3.400,   5.150,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f58,1f65,1f89,   1.950,   1.300,  -0.500
177,-0.000000,7.113733,0.123839,0.000000,0.992302,1f92,1f47,1f18,  -0.950,   2.800,   5.150,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f58,1f65,1f89,   1.950,   1.300,  -0.500
182,-0.000000,7.113733,0.123839,0.000000,0.992302,1f92,1f47,1f18,  -0.950,   2.800,   5.150,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5e,1f74,1f8b,   1.650,   0.550,  -0.600
191,-0.000000,7.113733,0.123839,0.000000,0.992302,1f98,1f3e,1f16,  -1.250,   3.250,   5.250,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f60,1f69,1f8b,   1.550,   1.100,  -0.600
194,-0.000000,7.113733,0.123839,0.000000,0.992302,1f98,1f3e,1f16,  -1.250,   3.250,   5.250,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f60,1f69,1f8b,   1.550,   1.100,  -0.600
199,-0.000000,7.113733,0.123839,0.000000,0.992302,1f8d,1f3f,1f15,  -0.700,   3.200,   5.300,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5b,1f72,1f87,   1.800,   0.650,  -0.400
202,-0.000000,7.113733,0.123839,0.000000,0.992302,1f8d,1f3f,1f15,  -0.700,   3.200,   5.300,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5b,1f72,1f87,   1.800,   0.650,  -0.400
207,-0.000000,7.113733,0.123839,0.000000,0.992302,1f96,1f3f,1f1c,  -1.150,   3.200,   4.950,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f5b,1f72,1f87,   1.800,   0.650,  -0.400
210,-0.000000,7.113733,0.123839,0.000000,0.992302,1f96,1f3f,1f1c,  -1.150,   3.200,   4.950,-0.000000,-2.385944,-0.041631,0.000000,0.999133,1f60,1f64,1f82,   1.550,   1.350,  -0.150
218,-0.000000,7.113733,0.123839,0.000000,0.992302,1f9a,1f44,1f21,  -1.350,   2.950,   4.700,-0.000000,-4.763642,-0.083045,0.000000,0.996546,1f59,1f6e,1f81,   1.900,   0.850,  -0.100
