
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
83,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8c,1f49,1f21,  -0.650,   2.700,   4.700,-19.975573,-22.249022,-0.355854,0.341619,0.869864,1f49,1f79,1fb2,   2.700,   0.300,  -2.550
90,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8c,1f49,1f21,  -0.650,   2.700,   4.700,-19.975573,-22.249022,-0.355854,0.341619,0.869864,1f49,1f79,1fb2,   2.700,   0.300,  -2.550
94,-16.814844,4.953258,0.082651,0.289280,0.953670,1f88,1f4b,1f22,  -0.450,   2.600,   4.650,-19.975573,-22.249022,-0.355854,0.341619,0.869864,1f49,1f79,1fb2,   2.700,   0.300,  -2.550
98,-16.814844,4.953258,0.082651,0.289280,0.953670,1f88,1f4b,1f22,  -0.450,   2.600,   4.650,-19.975573,-22.249022,-0.355854,0.341619,0.869864,1f49,1f79,1fb2,   2.700,   0.300,  -2.550
106,-19.053480,4.953257,0.081613,0.326451,0.941684,1f93,1f49,1f23,  -1.000,   2.700,   4.600,-19.975573,-22.249022,-0.355854,0.341619,0.869864,1f49,1f79,1fb2,   2.700,   0.300,  -2.550
114,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8d,1f41,1f27,  -0.700,   3.100,   4.400,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f4a,1f73,1fa7,   2.650,   0.600,  -2.000
117,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8d,1f41,1f27,  -0.700,   3.100,   4.400,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f4a,1f73,1fa7,   2.650,   0.600,  -2.000
123,-16.814844,4.953258,0.082651,0.289280,0.953670,1f92,1f45,1f2b,  -0.950,   2.900,   4.200,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f4a,1f74,1f9e,   2.650,   0.550,  -1.550
127,-16.814844,4.953258,0.082651,0.289280,0.953670,1f92,1f45,1f2b,  -0.950,   2.900,   4.200,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f4a,1f74,1f9e,   2.650,   0.550,  -1.550
133,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8a,1f4b,1f30,  -0.550,   2.600,   3.950,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f54,1f71,1fa3,   2.150,   0.700,  -1.800
136,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8a,1f4b,1f30,  -0.550,   2.600,   3.950,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f54,1f71,1fa3,   2.150,   0.700,  -1.800
142,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8f,1f49,1f2d,  -0.800,   2.700,   4.100,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f56,1f6b,1fa1,   2.050,   1.000,  -1.700
146,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8f,1f49,1f2d,  -0.800,   2.700,   4.100,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f56,1f6b,1fa1,   2.050,   1.000,  -1.700
154,-16.814844,4.953258,0.082651,0.289280,0.953670,1f91,1f46,1f2e,  -0.900,   2.850,   4.050,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f57,1f66,1f96,   2.000,   1.250,  -1.150
158,-16.814844,4.953258,0.082651,0.289280,0.953670,1f91,1f46,1f2e,  -0.900,   2.850,   4.050,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f56,1f75,1f9a,   2.050,   0.500,  -1.350
164,-16.814844,4.953258,0.082651,0.289280,0.953670,1f87,1f51,1f36,  -0.400,   2.300,   3.650,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f56,1f75,1f9a,   2.050,   0.500,  -1.350
171,-16.814844,4.953258,0.082651,0.289280,0.953670,1f88,1f48,1f34,  -0.450,   2.750,   3.750,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f59,1f78,1fa4,   1.900,   0.350,  -1.850
177,-16.814844,4.953258,0.082651,0.289280,0.953670,1f88,1f48,1f34,  -0.450,   2.750,   3.750,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f5f,1f6e,1fa2,   1.600,   0.850,  -1.750
183,-19.053480,4.953257,0.081613,0.326451,0.941684,1f8a,1f4b,1f2f,  -0.550,   2.600,   4.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f5f,1f6e,1fa2,   1.600,   0.850,  -1.750
188,-19.053480,4.953257,0.081613,0.326451,0.941684,1f8a,1f4b,1f2f,  -0.550,   2.600,   4.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f5d,1f78,1fa2,   1.700,   0.350,  -1.750
193,-19.053480,4.953257,0.081613,0.326451,0.941684,1f8b,1f48,1f2a,  -0.600,   2.750,   4.250,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f5d,1f78,1fa2,   1.700,   0.350,  -1.750
198,-19.053480,4.953257,0.081613,0.326451,0.941684,1f8b,1f48,1f2a,  -0.600,   2.750,   4.250,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f63,1f67,1fa1,   1.400,   1.200,  -1.700
202,-16.814844,4.953258,0.082651,0.289280,0.953670,1f89,1f44,1f2f,  -0.500,   2.950,   4.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f63,1f67,1fa1,   1.400,   1.200,  -1.700
207,-16.814844,4.953258,0.082651,0.289280,0.953670,1f89,1f44,1f2f,  -0.500,   2.950,   4.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f56,1f71,1fa9,   2.050,   0.700,  -2.100
212,-16.814844,4.953258,0.082651,0.289280,0.953670,1f89,1f46,1f2f,  -0.500,   2.850,   4.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f56,1f71,1fa9,   2.050,   0.700,  -2.100
217,-16.814844,4.953258,0.082651,0.289280,0.953670,1f89,1f46,1f2f,  -0.500,   2.850,   4.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f60,1f73,1fa5,   1.550,   0.600,  -1.900
222,-16.814844,4.953258,0.082651,0.289280,0.953670,1f94,1f4c,1f2c,  -1.050,   2.550,   4.150,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f60,1f73,1fa5,   1.550,   0.600,  -1.900
227,-16.814844,4.953258,0.082651,0.289280,0.953670,1f94,1f4c,1f2c,  -1.050,   2.550,   4.150,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f60,1f73,1fa5,   1.550,   0.600,  -1.900
233,-16.814844,4.953258,0.082651,0.289280,0.953670,1f93,1f46,1f2b,  -1.000,   2.850,   4.200,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f61,1f73,1fa5,   1.500,   0.600,  -1.900
237,-16.814844,4.953258,0.082651,0.289280,0.953670,1f93,1f46,1f2b,  -1.000,   2.850,   4.200,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f61,1f73,1fa5,   1.500,   0.600,  -1.900
241,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8d,1f4f,1f28,  -0.700,   2.400,   4.350,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f64,1f6d,1f9e,   1.350,   0.900,  -1.550
247,-16.814844,4.953258,0.082651,0.289280,0.953670,1f8d,1f4f,1f28,  -0.700,   2.400,   4.350,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f5c,1f77,1f9f,   1.750,   0.400,  -1.600
252,-16.814844,4.953258,0.082651,0.289280,0.953670,1f71,1f55,1f22,   0.700,   2.100,   4.650,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f5c,1f77,1f9f,   1.750,   0.400,  -1.600
257,-16.814844,4.953258,0.082651,0.289280,0.953670,1f71,1f55,1f22,   0.700,   2.100,   4.650,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f66,1f75,1fa0,   1.250,   0.500,  -1.650
264,-16.814844,4.953258,0.082651,0.289280,0.953670,1f6b,1f5f,1f24,   1.000,   1.600,   4.550,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f66,1f75,1fa0,   1.250,   0.500,  -1.650
269,-16.814844,4.953258,0.082651,0.289280,0.953670,1f70,1f5c,1f3a,   0.750,   1.750,   3.450,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f58,1f70,1f9f,   1.950,   0.750,  -1.600
276,-16.814844,4.953258,0.082651,0.289280,0.953670,1f70,1f5c,1f3a,   0.750,   1.750,   3.450,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f58,1f70,1f9f,   1.950,   0.750,  -1.600
283,-19.053480,4.953257,0.081613,0.326451,0.941684,1f80,1f54,1f1f,  -0.050,   2.150,   4.800,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f58,1f70,1f9f,   1.950,   0.750,  -1.600
292,-19.720530,7.725143,0.126537,0.337433,0.932806,1f8e,1f5b,1f16,  -0.750,   1.800,   5.250,-17.905647,-22.249023,-0.360293,0.307450,0.880717,1f5f,1f72,1f98,   1.600,   0.650,  -1.250
301,-18.348314,4.756055,0.078698,0.314793,0.945892,1fa5,1f5d,1f5a,  -1.900,   1.700,   1.850,-20.714739,-23.198591,-0.368454,0.353715,0.859725,1f5e,1f6f,1f95,   1.650,   0.800,  -1.100
307,-18.348314,4.756055,0.078698,0.314793,0.945892,1fa5,1f5d,1f5a,  -1.900,   1.700,   1.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f6d,1f9a,   1.300,   0.900,  -1.350
314,-18.348314,4.756055,0.078698,0.314793,0.945892,1f9f,1f4f,1f1e,  -1.600,   2.400,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f6d,1f9a,   1.300,   0.900,  -1.350
318,-18.348314,4.756055,0.078698,0.314793,0.945892,1f9f,1f4f,1f1e,  -1.600,   2.400,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f6a,1f96,   1.300,   1.050,  -1.150
325,-19.053480,4.953257,0.081613,0.326451,0.941684,1f8f,1f53,1f0b,  -0.800,   2.200,   5.800,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f6a,1f96,   1.300,   1.050,  -1.150
333,-16.814844,4.953258,0.082651,0.289280,0.953670,1fa2,1f4e,1f1e,  -1.750,   2.450,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f67,1f6c,1f95,   1.200,   0.950,  -1.100
343,-16.814844,4.953258,0.082651,0.289280,0.953670,1f9f,1f51,1f1a,  -1.600,   2.300,   5.050,-18.868145,-20.854458,-0.336866,0.323391,0.884273,1f62,1f70,1f9b,   1.450,   0.750,  -1.400
352,-16.814844,4.953258,0.082651,0.289280,0.953670,1f98,1f4d,1f18,  -1.250,   2.500,   5.150,-18.868145,-20.854458,-0.336866,0.323391,0.884273,1f69,1f72,1f99,   1.100,   0.650,  -1.300
360,-16.814844,4.953258,0.082651,0.289280,0.953670,1f98,1f4d,1f18,  -1.250,   2.500,   5.150,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f67,1f72,1f95,   1.200,   0.650,  -1.100
366,-19.053480,4.953257,0.081613,0.326451,0.941684,1f9e,1f47,1f1f,  -1.550,   2.800,   4.800,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f67,1f72,1f95,   1.200,   0.650,  -1.100
372,-19.053480,4.953257,0.081613,0.326451,0.941684,1f96,1f44,1f1b,  -1.150,   2.950,   5.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f66,1f75,1f98,   1.250,   0.500,  -1.250
379,-19.053480,4.953257,0.081613,0.326451,0.941684,1f96,1f44,1f1b,  -1.150,   2.950,   5.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f78,1fa4,   1.300,   0.350,  -1.850
384,-19.053480,4.953257,0.081613,0.326451,0.941684,1f9a,1f45,1f1e,  -1.350,   2.900,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f78,1fa4,   1.300,   0.350,  -1.850
390,-19.053480,4.953257,0.081613,0.326451,0.941684,1f9a,1f45,1f1e,  -1.350,   2.900,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f7e,1f9a,   1.450,   0.050,  -1.350
395,-19.053480,4.953257,0.081613,0.326451,0.941684,1f98,1f46,1f22,  -1.250,   2.850,   4.650,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f7e,1f9a,   1.450,   0.050,  -1.350
400,-19.053480,4.953257,0.081613,0.326451,0.941684,1f98,1f46,1f22,  -1.250,   2.850,   4.650,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f7d,1f9b,   1.450,   0.100,  -1.400
406,-16.814844,4.953258,0.082651,0.289280,0.953670,1f99,1f3b,1f21,  -1.300,   3.400,   4.700,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f7d,1f9b,   1.450,   0.100,  -1.400
410,-16.814844,4.953258,0.082651,0.289280,0.953670,1f99,1f3b,1f21,  -1.300,   3.400,   4.700,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f60,1f7d,1f99,   1.550,   0.100,  -1.300
414,-16.814844,4.953258,0.082651,0.289280,0.953670,1f9a,1f3c,1f1e,  -1.350,   3.350,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f60,1f7d,1f99,   1.550,   0.100,  -1.300
419,-16.814844,4.953258,0.082651,0.289280,0.953670,1f9a,1f3c,1f1e,  -1.350,   3.350,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f64,1f74,1f94,   1.350,   0.550,  -1.050
424,-19.053480,4.953257,0.081613,0.326451,0.941684,1f9d,1f3c,1f23,  -1.500,   3.350,   4.600,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f64,1f74,1f94,   1.350,   0.550,  -1.050
429,-19.053480,4.953257,0.081613,0.326451,0.941684,1f9d,1f3c,1f23,  -1.500,   3.350,   4.600,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f7e,1f9f,   1.450,   0.050,  -1.600
434,-16.814844,4.953258,0.082651,0.289280,0.953670,1fac,1f3f,1f1e,  -2.250,   3.200,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f7e,1f9f,   1.450,   0.050,  -1.600
437,-16.814844,4.953258,0.082651,0.289280,0.953670,1fac,1f3f,1f1e,  -2.250,   3.200,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f7e,1f9f,   1.450,   0.050,  -1.600
444,-16.814844,4.953258,0.082651,0.289280,0.953670,1fab,1f36,1f1f,  -2.200,   3.650,   4.800,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f76,1f9a,   1.450,   0.450,  -1.350
448,-16.814844,4.953258,0.082651,0.289280,0.953670,1fab,1f36,1f1f,  -2.200,   3.650,   4.800,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f62,1f76,1f9a,   1.450,   0.450,  -1.350
454,-19.053480,4.953257,0.081613,0.326451,0.941684,1fa1,1f37,1f1b,  -1.700,   3.600,   5.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f5c,1f76,1f97,   1.750,   0.450,  -1.200
460,-19.053480,4.953257,0.081613,0.326451,0.941684,1fa1,1f37,1f1b,  -1.700,   3.600,   5.000,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f61,1f79,1f9a,   1.500,   0.300,  -1.350
465,-16.814844,4.953258,0.082651,0.289280,0.953670,1f97,1f45,1f23,  -1.200,   2.900,   4.600,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f61,1f79,1f9a,   1.500,   0.300,  -1.350
469,-16.814844,4.953258,0.082651,0.289280,0.953670,1f97,1f45,1f23,  -1.200,   2.900,   4.600,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f61,1f79,1f9a,   1.500,   0.300,  -1.350
474,-16.814844,4.953258,0.082651,0.289280,0.953670,1fa2,1f42,1f22,  -1.750,   3.050,   4.650,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f63,1f73,1f9f,   1.400,   0.600,  -1.600
478,-16.814844,4.953258,0.082651,0.289280,0.953670,1fa2,1f42,1f22,  -1.750,   3.050,   4.650,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f63,1f73,1f9f,   1.400,   0.600,  -1.600
487,-16.814844,4.953258,0.082651,0.289280,0.953670,1f9a,1f3d,1f21,  -1.350,   3.300,   4.700,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f7c,1f8e,   1.300,   0.150,  -0.750
493,-16.814844,4.953258,0.082651,0.289280,0.953670,1f9c,1f41,1f1e,  -1.450,   3.100,   4.850,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f68,1f80,1f93,   1.150,  -0.050,  -1.000
500,-19.053480,4.953257,0.081613,0.326451,0.941684,1fa1,1f43,1f1f,  -1.700,   3.000,   4.800,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f78,1fa5,   1.300,   0.350,  -1.900
507,-19.053480,4.953257,0.081613,0.326451,0.941684,1fa1,1f43,1f1f,  -1.700,   3.000,   4.800,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f65,1f78,1fa5,   1.300,   0.350,  -1.900
512,-16.814844,4.953258,0.082651,0.289280,0.953670,1f9b,1f38,1f1c,  -1.400,   3.550,   4.950,-18.579786,-23.198589,-0.373389,0.318625,0.871240,1f69,1f72,1f9a,   1.100,   0.650,  -1.350
