
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
89,-16.640182,9.833565,0.163635,0.286360,0.944045,1f99,1f43,1f24,  -1.300,   3.000,   4.550,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f57,1f67,1f9d,   2.000,   1.200,  -1.500
105,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9c,1f4a,1f1e,  -1.450,   2.650,   4.850,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f53,1f6d,1fa5,   2.200,   0.900,  -1.900
115,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9c,1f4a,1f1e,  -1.450,   2.650,   4.850,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f65,1f79,1fa5,   1.300,   0.300,  -1.900
124,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9d,1f4a,1f25,  -1.500,   2.650,   4.500,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f65,1f79,1fa5,   1.300,   0.300,  -1.900
127,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9d,1f4a,1f25,  -1.500,   2.650,   4.500,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f5c,1f78,1fac,   1.750,   0.350,  -2.250
133,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9d,1f46,1f26,  -1.500,   2.850,   4.450,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f5c,1f78,1fac,   1.750,   0.350,  -2.250
137,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9d,1f46,1f26,  -1.500,   2.850,   4.450,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f5c,1f78,1fac,   1.750,   0.350,  -2.250
141,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9d,1f46,1f26,  -1.500,   2.850,   4.450,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f5d,1f77,1fa2,   1.700,   0.400,  -1.750
146,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9e,1f42,1f20,  -1.550,   3.050,   4.750,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f5d,1f77,1fa2,   1.700,   0.400,  -1.750
151,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9e,1f42,1f20,  -1.550,   3.050,   4.750,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f5f,1f7a,1fab,   1.600,   0.250,  -2.200
158,-16.640182,9.833565,0.163635,0.286360,0.944045,1fa0,1f40,1f1f,  -1.650,   3.150,   4.800,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f66,1f78,1fad,   1.250,   0.350,  -2.300
175,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9f,1f46,1f2c,  -1.600,   2.850,   4.150,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f54,1f74,1fa8,   2.150,   0.550,  -2.050
179,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9f,1f46,1f2c,  -1.600,   2.850,   4.150,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f54,1f74,1fa8,   2.150,   0.550,  -2.050
184,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9f,1f43,1f1e,  -1.600,   3.000,   4.850,-33.382896,-11.309934,-0.163759,0.550232,0.818797,1f54,1f74,1fa8,   2.150,   0.550,  -2.050
