
Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
1f93,1f42,1f3b,  -1.000,   3.050,   3.400
1f93,1f41,1f42,  -1.000,   3.100,   3.050
1f94,1f43,1f3d,  -1.050,   3.000,   3.300
1f96,1f4a,1f41,  -1.150,   2.650,   3.100
1f98,1f42,1f3e,  -1.250,   3.050,   3.250
1f8e,1f49,1f45,  -0.750,   2.700,   2.900
1f8b,1f42,1f35,  -0.600,   3.050,   3.700
1f98,1f40,1f3e,  -1.250,   3.150,   3.250
1f97,1f45,1f3e,  -1.200,   2.900,   3.250
1f8a,1f3f,1f3b,  -0.550,   3.200,   3.400
1f90,1f42,1f42,  -0.850,   3.050,   3.050
1f96,1f41,1f46,  -1.150,   3.100,   2.850
1f97,1f42,1f3b,  -1.200,   3.050,   3.400
1f90,1f43,1f3c,  -0.850,   3.000,   3.350
1f96,1f3d,1f3b,  -1.150,   3.300,   3.400
1f90,1f41,1f3f,  -0.850,   3.100,   3.200
1f90,1f41,1f3d,  -0.850,   3.100,   3.300
1f90,1f41,1f3d,  -0.850,   3.100,   3.300
1f94,1f46,1f3e,  -1.050,   2.850,   3.250
1f9b,1f4b,1f46,  -1.400,   2.600,   2.850
1f8e,1f44,1f3a,  -0.750,   2.950,   3.450
1f95,1f41,1f3f,  -1.100,   3.100,   3.200
1f9d,1f42,1f3b,  -1.500,   3.050,   3.400
1f95,1f48,1f3d,  -1.100,   2.750,   3.300
1f99,1f47,1f3a,  -1.300,   2.800,   3.450
1f9a,1f48,1f43,  -1.350,   2.750,   3.000
1f97,1f4a,1f3a,  -1.200,   2.650,   3.450
1f9e,1f44,1f40,  -1.550,   2.950,   3.150
1f98,1f40,1f40,  -1.250,   3.150,   3.150
1f95,1f3e,1f37,  -1.100,   3.250,   3.600
1f9d,1f40,1f3c,  -1.500,   3.150,   3.350
1f98,1f43,1f3d,  -1.250,   3.000,   3.300
1f97,1f40,1f41,  -1.200,   3.150,   3.100
1f95,1f4a,1f3d,  -1.100,   2.650,   3.300
1f8d,1f42,1f3a,  -0.700,   3.050,   3.450
1f8a,1f3f,1f3c,  -0.550,   3.200,   3.350
1f92,1f48,1f37,  -0.950,   2.750,   3.600
1f97,1f41,1f39,  -1.200,   3.100,   3.500
1f8d,1f45,1f39,  -0.700,   2.900,   3.500
1f91,1f46,1f32,  -0.900,   2.850,   3.850
1f94,1f40,1f39,  -1.050,   3.150,   3.500
1f95,1f42,1f3b,  -1.100,   3.050,   3.400
1f8b,1f42,1f3a,  -0.600,   3.050,   3.450
1f8d,1f47,1f3e,  -0.700,   2.800,   3.250
1f8b,1f43,1f3d,  -0.600,   3.000,   3.300
1f8b,1f43,1f3d,  -0.600,   3.000,   3.300
1f98,1f46,1f3b,  -1.250,   2.850,   3.400
1f9e,1f42,1f3c,  -1.550,   3.050,   3.350
1f94,1f42,1f3f,  -1.050,   3.050,   3.200
1f98,1f48,1f3b,  -1.250,   2.750,   3.400
1f91,1f42,1f35,  -0.900,   3.050,   3.700
1f99,1f49,1f40,  -1.300,   2.700,   3.150
1f89,1f3f,1f44,  -0.500,   3.200,   2.950
1f8a,1f45,1f3c,  -0.550,   2.900,   3.350
1f89,1f43,1f36,  -0.500,   3.000,   3.650
1f9f,1f43,1f37,  -1.600,   3.000,   3.600
