Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
1f97,1f4a,1f1f,-1.2,2.65,4.8
1f99,1f49,1f44,-1.3,2.7,2.95
1f9b,1f48,1f42,-1.4,2.75,3.05
1f9b,1f48,1f42,-1.4,2.75,3.05
1f94,1f45,1f3f,-1.05,2.9,3.2
1f94,1f45,1f3f,-1.05,2.9,3.2
1f91,1f44,1f40,-0.9,2.95,3.15
1f99,1f4c,1f56,-1.3,2.55,2.05
1f96,1f45,1f65,-1.15,2.9,1.3
1f96,1f45,1f65,-1.15,2.9,1.3
1f9c,1f4d,1f84,-1.45,2.5,-0.25
1f98,1f48,1f89,-1.25,2.75,-0.5
1f98,1f48,1f89,-1.25,2.75,-0.5
1f92,1f49,1f6d,-0.95,2.7,0.9
1f92,1f49,1f6d,-0.95,2.7,0.9
1f91,1f43,1f52,-0.9,3,2.25
1f91,1f47,1f3e,-0.9,2.8,3.25
1f99,1f3d,1f30,-1.3,3.3,3.95
1f8e,1f48,1f2c,-0.75,2.75,4.15
1f8b,1f44,1f3c,-0.6,2.95,3.35
1f8b,1f40,1f41,-0.6,3.15,3.1
1f90,1f44,1f38,-0.85,2.95,3.55
1f94,1f4c,1f37,-1.05,2.55,3.6
1f85,1f4c,1f41,-0.3,2.55,3.1
1f97,1f46,1f3b,-1.2,2.85,3.4
1f98,1f46,1f33,-1.25,2.85,3.8
1f90,1f3e,1f3a,-0.85,3.25,3.45
1f8c,1f3f,1f46,-0.65,3.2,2.85
1f8f,1f49,1f3a,-0.8,2.7,3.45
1f93,1f46,1f3c,-1,2.85,3.35
1f8a,1f49,1f38,-0.55,2.7,3.55
1f9a,1f46,1f3c,-1.35,2.85,3.35
1f98,1f44,1f42,-1.25,2.95,3.05
1f9a,1f44,1f3d,-1.35,2.95,3.3
1f97,1f4b,1f3d,-1.2,2.6,3.3
1f92,1f42,1f41,-0.95,3.05,3.1
1f94,1f49,1f48,-1.05,2.7,2.75
1f98,1f43,1f4d,-1.25,3,2.5
1f9c,1f42,1f6f,-1.45,3.05,0.8
1f9c,1f42,1f6f,-1.45,3.05,0.8
1f90,1f45,1f6b,-0.85,2.9,1
1f98,1f4a,1f49,-1.25,2.65,2.7
1f8e,1f48,1f39,-0.75,2.75,3.5
1f91,1f3f,1f42,-0.9,3.2,3.05
1f95,1f46,1f36,-1.1,2.85,3.65
1f95,1f46,1f35,-1.1,2.85,3.7
1f93,1f45,1f3e,-1,2.9,3.25
1f98,1f47,1f36,-1.25,2.8,3.65
1f93,1f47,1f36,-1,2.8,3.65
1f99,1f44,1f2c,-1.3,2.95,4.15
1f99,1f44,1f2c,-1.3,2.95,4.15
1f93,1f40,1f28,-1,3.15,4.35
1f96,1f42,1f21,-1.15,3.05,4.7
1f98,1f40,1f22,-1.25,3.15,4.65
1f99,1f47,1f16,-1.3,2.8,5.25
1f96,1f44,1f01,-1.15,2.95,6.3
1f99,1f43,1eec,-1.3,3,7.35
1f97,1f3d,1ee7,-1.2,3.3,7.6
1f97,1f3d,1ee7,-1.2,3.3,7.6
1f91,1f48,1f08,-0.9,2.75,5.95
1f8f,1f4a,1f25,-0.8,2.65,4.5
1f94,1f48,1f38,-1.05,2.75,3.55
1fa3,1f45,1f37,-1.8,2.9,3.6
1f94,1f44,1f2c,-1.05,2.95,4.15
1f9b,1f40,1f40,-1.4,3.15,3.15
1f90,1f42,1f42,-0.85,3.05,3.05
1f90,1f42,1f42,-0.85,3.05,3.05
1f91,1f43,1f50,-0.9,3,2.35
1f94,1f47,1f5e,-1.05,2.8,1.65
1f91,1f4c,1f69,-0.9,2.55,1.1
1f90,1f4a,1fb7,-0.85,2.65,-2.8
1f90,1f48,1fd6,-0.85,2.75,-4.35
1f90,1f48,1fd6,-0.85,2.75,-4.35
1f9f,1f45,1fde,-1.6,2.9,-4.75
1f9f,1f45,1fde,-1.6,2.9,-4.75
1f99,1f4a,1fd6,-1.3,2.65,-4.35
1f98,1f45,1fd1,-1.25,2.9,-4.1
1f98,1f45,1fd1,-1.25,2.9,-4.1
1f9c,1f47,1fdb,-1.45,2.8,-4.6
1fa0,1f47,1fbc,-1.65,2.8,-3.05
1f94,1f53,1f7a,-1.05,2.2,0.25
1f96,1f43,1f6d,-1.15,3,0.9
1f98,1f48,1f49,-1.25,2.75,2.7
1f9e,1f46,1f2a,-1.55,2.85,4.25
1fae,1f43,1f52,-2.35,3,2.25
1fd8,1f4f,1fa0,-4.45,2.4,-1.65
1fee,1f51,1fba,-5.55,2.3,-2.95
201f,1f47,1fd0,-8,2.8,-4.05
2085,1f49,1ff2,-13.1,2.7,-5.75
2113,1f47,1ff5,-20.2,2.8,-5.9
222b,1f54,2002,-34.2,2.15,-6.55
222b,1f54,2002,-34.2,2.15,-6.55
2285,1f55,2025,-38.7,2.1,-8.3
22ac,1f55,1ff9,-40.65,2.1,-6.1
22c2,1f58,1fdf,-41.75,1.95,-4.8
22d4,1f5f,1ff1,-42.65,1.6,-5.7
2304,1f5c,2016,-45.05,1.75,-7.55
230a,1f5e,1ff2,-45.35,1.65,-5.75
22f5,1f5b,1fc4,-44.3,1.8,-3.45
22f8,1f51,1fab,-44.45,2.3,-2.2
22d0,1f55,1fa3,-42.45,2.1,-1.8
22d0,1f55,1fa3,-42.45,2.1,-1.8
2290,1f5e,1fa8,-39.25,1.65,-2.05
225b,1f52,1fb2,-36.6,2.25,-2.55
2218,1f4e,1fe0,-33.25,2.45,-4.85
21f6,1f44,1ff5,-31.55,2.95,-5.9
